post_id,community_id,author_id,title,body,media,url,tags,score,num_comments,created_at,updated_at,status,spam_score
P000001,C010,U01345,Threat level positive mind skill,Seem model imagine me matter source. Available yes success break tough.,,,"how,idea",149,417,2025-04-24T03:44:01,2025-04-24T03:44:01,active,0.46
P000002,C188,U00687,Health fire cup administration itself,Tend so see power few each administration. Tough education human require he.,[democratic.jpg],,"case,approach,major,just",22,483,2024-10-23T10:11:50,2024-10-23T10:11:50,flagged,0.127
P000003,C114,U01969,Way today two far apply let hit president,Our great mention local. Attack former financial medical action big season. Especially agency despite minute agency idea sometimes.,,,"pretty,magazine,hand",179,95,2024-12-31T23:46:19,2024-12-31T23:46:19,active,0.379
P000004,C008,U02959,Expect anything military but just maintain,Program nature see. Attack why usually help produce key reveal. Century several cultural pattern every.,,http://www.turner.com/,"key,daughter,outside,kid",354,229,2025-03-11T18:30:31,2025-03-11T18:30:31,active,0.97
P000005,C191,U00030,Interview nothing wrong decision yard clear also,Despite trip close pull. Bag least tonight pattern. Sure western election next threat sport.,,,"give,program",3,136,2025-05-10T08:05:19,2025-05-10T08:05:19,active,0.754
P000006,C163,U02885,Money property structure operation radio south sing early,Low foreign meeting material right identify. Feel tell blood challenge difference situation thing eat. Unit recently media include.,,https://rivera.info/,"recognize,without",3,98,2025-05-20T03:51:05,2025-05-20T03:51:05,active,0.839
P000007,C128,U02640,Simple unit,Image it increase within free have.,,,"message,foot,eat",365,361,2025-03-29T14:45:31,2025-03-29T14:45:31,active,0.126
P000008,C119,U00904,Until how degree involve dog during,City force heavy bar bank someone. Change investment to.,,http://www.ruiz.com/,"film,respond,hit,threat",203,472,2024-01-18T14:08:13,2024-01-18T14:08:13,active,0.255
P000009,C196,U02978,Program beautiful close finally beyond,Write pass start court. Today station make environment. Past moment story expect assume. System church simply method market difference exist hotel. Professor reason special grow meeting family.,,,"institution,teacher,season,kid",-43,266,2025-04-13T20:30:03,2025-04-25T20:30:03,active,0.981
P000010,C116,U01877,Some suggest,Drive chance choice bag onto. Challenge your call reveal. Side reach often responsibility itself. Upon property public role.,,,five,158,184,2025-09-04T14:42:45,2025-09-04T14:42:45,active,0.864
P000011,C103,U02642,Time prevent hair hospital generation any subject sound,Speech less whom situation. Last staff seat religious probably when. Test contain than clearly economy behavior then.,,https://www.henson.net/,"mission,PM,fall",-42,194,2025-04-17T19:24:12,2025-04-17T19:24:12,flagged,0.279
P000012,C172,U01084,Result individual side place represent song health,Lot station may decision. Quite tax season event hospital more. Partner partner itself wear song lawyer rest natural.,,,"someone,nothing",-43,319,2025-10-20T18:29:21,2025-10-20T18:29:21,active,0.283
P000013,C155,U01353,And forward imagine phone social listen there upon trial,Discuss firm opportunity last feel present although. Protect often house above director. Weight last however involve when. Movement tonight vote administration than. Shoulder professional market oil move. Explain break dog writer night forget nation. Add involve forget early look. Candidate see election price.,,,remain,98,5,2025-05-27T01:02:22,2025-06-11T01:02:22,active,0.677
P000014,C068,U01282,Indeed town daughter clearly best use,Reality police baby choose building view well. Single some want whole.,,,"live,build,southern,green",-332,12,2025-05-09T03:15:20,2025-05-09T03:15:20,active,0.059
P000015,C033,U02943,Matter strong,Member loss pass size green begin computer. Nation economy adult trial source. Yeah class garden miss.,[road.jpg],,nor,-294,355,2024-04-01T03:09:25,2024-04-01T03:09:25,removed,0.499
P000016,C195,U01540,Long under place ahead,Billion mention speech defense couple point. Security at year dinner prevent tree manager side. Focus hard tonight already could number. Write value possible. See account firm less care benefit. No bring career manager you rise future.,,,probably,-62,164,2025-03-01T17:35:36,2025-03-03T17:35:36,active,0.674
P000017,C030,U01500,Skill point early,Fall teach area feel who carry. Staff yourself exactly sure wonder. Hair marriage school imagine ago expect continue.,,http://www.morrison.com/,"special,everything",-152,166,2024-11-09T13:31:00,2024-11-09T13:31:00,active,0.656
P000018,C126,U00679,Five buy office old bad any find set senior tree,Very that national trade price beyond idea.,[word.jpg],http://davis-cook.com/,"authority,between,certain",112,311,2024-12-01T03:37:11,2024-12-01T03:37:11,active,0.697
P000019,C149,U02736,About through amount special image blood city vote time,Free continue truth red. Piece admit despite remain. Scene state radio draw.,[involve.jpg],,"necessary,accept,responsibility",-131,313,2025-03-18T18:21:35,2025-03-18T18:21:35,active,0.891
P000020,C083,U02657,Office role success manage draw,Party home stay fall carry. In official especially pattern threat religious effort painting. Within if course. Reality office sport oil whose. Car American your seat rule.,,,return,-232,226,2024-03-30T02:46:36,2024-03-30T02:46:36,active,0.89
P000021,C074,U00305,Card design where off prepare response,Blood deal certain right size than. With her million every production tax. Deal good thank teach.,,,"might,eight,recognize",343,67,2025-07-28T01:14:10,2025-08-12T01:14:10,active,0.809
P000022,C016,U01857,We join edge item city sit,Modern data book expert exist computer shoulder.,,,material,4,312,2025-05-03T16:14:58,2025-05-05T16:14:58,active,0.908
P000023,C126,U01210,Assume lawyer field difference cut tell style white,Lose just card sit. His worry necessary politics certain environment he. Ready even probably son second.,,http://www.krueger.com/,take,63,404,2025-09-18T16:27:29,2025-09-18T16:27:29,active,0.386
P000024,C160,U01074,Serious protect new party sometimes morning consumer market more,Force ready network. Game loss cost run result interesting receive.,,,"expert,peace",-234,153,2024-02-14T00:39:25,2024-02-14T00:39:25,active,0.683
P000025,C062,U00706,Pick prove whether,Ground here person three foot tax ground. Mouth manage issue none ready. North case improve analysis.,,,"itself,manage,nor",-58,4,2025-07-26T06:39:38,2025-08-05T06:39:38,active,0.773
P000026,C060,U01187,Bill wrong,Responsibility determine Democrat he already activity. Important yard poor threat throw behavior type partner. South social Mr pick. Analysis ready must price receive. Unit majority yeah. Thought beyond mean director offer a. Various send news clearly school wonder.,,,owner,72,421,2025-03-04T12:00:38,2025-03-10T12:00:38,active,0.66
P000027,C091,U01959,Project court state doctor,Cultural decide car leave. Difficult care brother treatment daughter phone they. Strong it reach street city.,,,"account,Congress,human",-180,473,2025-09-26T19:33:57,2025-09-26T19:33:57,removed,0.089
P000028,C168,U00970,Along compare successful inside be,Available indeed itself record coach. Research this most too option which one. Though church young mouth note well.,,,large,125,488,2025-08-30T04:28:30,2025-08-30T04:28:30,active,0.741
P000029,C187,U00956,Particularly some evidence employee degree,Image heart movement until themselves. Someone camera approach say. Wear both look training oil scene career.,,,"national,couple",-70,109,2025-04-11T16:13:10,2025-04-21T16:13:10,active,0.176
P000030,C119,U01752,Then sometimes drive anything teach myself avoid much base modern behavior,Nature stock analysis make study cause.,,,"discussion,strategy",-8,59,2025-08-19T12:37:07,2025-08-19T12:37:07,active,0.165
P000031,C023,U02851,Military person author return,Scene focus clearly everybody. Air she sister simple real television. Base close score. Ball read lose south keep thus positive arm. Security painting rest write fine public some mean. Sell end be spend outside. Music expert mission should character station eye.,,,pretty,-70,148,2025-04-04T20:51:16,2025-04-13T20:51:16,active,0.618
P000032,C155,U00208,Fire light,Level analysis any product though help. Become rich every change help but. Chance especially direction focus product hand. Size heart among research. Like image drive own pass least great your. Single well task moment call art soon up. Education more three trip school energy.,,,"evening,tough,significant",420,80,2024-05-26T05:20:40,2024-05-26T05:20:40,active,0.676
P000033,C152,U00148,Natural list they eat,Responsibility could positive hundred drug pull.,,,"instead,chance,same,present",47,493,2025-03-12T04:45:24,2025-03-24T04:45:24,active,0.442
P000034,C039,U00957,Rise miss population project film father again these,Reveal suddenly issue bit whether edge. Them state factor word hope great seek. Term amount idea director put.,,https://www.lee-grimes.com/,relate,-161,466,2025-01-11T03:07:57,2025-01-11T03:07:57,active,0.218
P000035,C141,U02307,Like film,Message whether morning trouble against. Room happy new may condition. Former win letter story article. Also rather arm table draw trouble. Wide station create moment onto.,,,"use,indicate,can,section",214,148,2024-01-28T18:42:09,2024-01-28T18:42:09,active,0.112
P000036,C185,U00844,Southern south bed represent,Letter these buy answer wish drop before. Manage care popular yourself always.,,https://www.jones.net/,"son,generation,model",-194,487,2025-09-12T14:40:54,2025-09-12T14:40:54,active,0.028
P000037,C127,U00314,Believe whether teach single result modern across,Star young ahead blood single. Near study model actually. Free PM market role statement other. True think quite hot particular generation.,,,various,91,423,2025-07-09T18:58:19,2025-07-09T18:58:19,active,0.703
P000038,C092,U02898,Baby page speak that police offer,Factor discuss morning gas ago cause young. Color reveal walk paper media.,,http://www.hill-morgan.com/,"best,especially",-341,60,2024-11-02T07:39:47,2024-11-02T07:39:47,active,0.497
P000039,C165,U02064,Receive tax,Mind imagine section stop.,,http://vasquez.biz/,learn,-215,161,2025-08-21T11:57:59,2025-09-03T11:57:59,active,0.847
P000040,C008,U00770,Mind benefit second interview suffer,Themselves area those guess huge.,,,"television,behavior,try,political",89,11,2024-01-11T14:43:13,2024-01-11T14:43:13,active,0.403
P000041,C153,U01626,Hit rate authority wait defense,Effect future appear involve nearly. Occur magazine suggest interesting no total. Decision modern enough see American drug to above. World sister garden down television tree say.,,,"newspaper,century",197,111,2025-06-19T22:56:18,2025-06-19T22:56:18,active,0.108
P000042,C175,U01304,Animal do hear,Bill have reality.,,http://www.richardson.com/,feeling,84,140,2025-05-24T12:03:43,2025-05-24T12:03:43,active,0.25
P000043,C056,U01222,Consider administration yet yeah old close series,Wall inside person space thank prevent store politics. Second put seven take bed mission certain situation.,,,"outside,particularly,if,public",26,150,2024-08-09T14:38:29,2024-08-18T14:38:29,active,0.552
P000044,C160,U02667,Chair north family sign,Peace window create compare couple continue sister. Family center wide identify nice.,,,writer,-10,430,2025-03-24T18:24:36,2025-03-24T18:24:36,active,0.851
P000045,C084,U02219,Imagine record wrong,Huge brother shake win. Politics community democratic. Wall right mind determine prove own gun. Together minute price night admit.,,,"their,tell,feel",-245,182,2024-09-02T17:28:13,2024-09-04T17:28:13,active,0.769
P000046,C148,U01724,Watch,Thought brother central reason particular game. Source six image several name chair produce. Situation him her imagine.,[baby.jpg],,"wind,themselves",-93,398,2025-08-06T07:29:13,2025-08-06T07:29:13,active,0.561
P000047,C053,U02244,Address loss international public rate certainly couple more,Wonder seek edge court environment must. Onto significant sure evening together. Strategy clearly sell.,,,"ability,according",-42,74,2024-07-05T19:37:45,2024-07-05T19:37:45,active,0.695
P000048,C106,U01046,Its hospital those artist area street shake mean avoid property sport friend,War heart argue. Bag picture available scene approach.,,,"staff,cost,involve",261,264,2024-11-30T13:20:39,2024-12-12T13:20:39,active,0.393
P000049,C126,U00362,Miss the we politics phone anyone happy,Admit manager kind example class.,,,"list,send,yes",118,176,2024-05-10T23:59:36,2024-05-10T23:59:36,active,0.037
P000050,C067,U01468,Rise several in candidate case,Sometimes second man personal listen his answer.,,,"college,other,scene",-302,129,2025-09-12T19:09:26,2025-09-12T19:09:26,active,0.544
P000051,C181,U01277,At sing age view push enjoy wife cup,Become car use group us. General which board name bad. Daughter you traditional. Bad clear here despite. Draw message prove car many of.,[hair.jpg],,"discover,customer,however,campaign",114,60,2024-03-20T04:59:52,2024-03-20T04:59:52,removed,0.86
P000052,C097,U00312,Avoid property father enough,Ten follow cell how. Amount stage issue expect apply later radio. Huge move until toward.,,,sit,-27,400,2024-09-15T12:43:40,2024-09-15T12:43:40,active,0.27
P000053,C090,U01058,Project color cost add claim begin,Movie consumer pick end us information occur future. Six rather just serious term discuss state. Theory summer concern race five. Full occur last. Manage reflect name. Idea until budget long article team.,,,"we,eat,model",-85,473,2025-10-21T15:58:45,2025-11-04T15:58:45,flagged,0.5
P000054,C023,U01094,Million space team,Share heavy century probably color difference.,,,"represent,happy,generation",172,323,2025-06-16T19:41:55,2025-06-16T19:41:55,flagged,0.848
P000055,C091,U02764,Beat hotel them hand since much language,If change authority prepare view. Word catch nothing why. Western newspaper move radio dog perhaps my situation.,,,trip,256,435,2024-03-07T23:30:00,2024-03-07T23:30:00,flagged,0.644
P000056,C036,U00624,Well camera truth surface sometimes week,Item rest respond economy why possible fear. Front save mention picture positive exist later nation.,[lot.jpg],http://kelly.com/,"line,want,interest,off",236,409,2025-03-31T23:18:39,2025-03-31T23:18:39,active,0.126
